YEAR,1. Who is your neighborhood community organizer?,2. What type of garden do you have?,3. How long have you been growing with Home Gardens?,4. Did you garden this year?,"If you did NOT garden this year, please explain why.","5. Did you get enough seeds and starts for your garden? If no, please explain.",6. Has your fruit and vegetable consumption increased since gardening with Home Gardens?,7. Has growing a garden reduced the amount of times you visited a food pantry this season?,8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling optimistic about the future],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling useful] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido útil],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling relaxed]/ 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido relajado/a],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been dealing with problems well] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He estado lidiando bien con los problemas],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been thinking clearly] 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He estado pensando claramente],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling close to other people] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido cerca de otras personas],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been able to make up my own mind about things] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He podido tomar mis propias decisiones],"9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Growing food?]","9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Cooking or preparing fresh produce?]","9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Using natural ingredients to make green cleaning products?]",10. Because of your garden did you? [Share produce from your garden with people outside your household? ],10. Because of your garden did you? [Meet any new neighbors?],10. Because of your garden did you? [Save money on groceries?],"10. Because of your garden did you? [Preserve (freeze, can, dry, pickle) any produce from your garden?]",16. Because of your garden did you....? [Experience any therapeutic (mental/emotional wellbeing) benefits from your garden?],11. Did having a garden increase your level of physical activity?,12. Please describe you and your family's experience in your garden this year.,13. Are there any workshops or skills training you would like to attend in the future?,"14. Did you receive the culturally relevant plants that you needed? If not, what items can we provide for you in the future? / 14. ¿Recibió las plantas culturalmente relevantes que necesitaba? Yes no, ¿qué artículos podrían proporcionarle?",15. How is your relationship with your community organizer? How could your community organizer better support you?,16. How often do you talk with your community organizer?,17. Is there anything else you would like us to know?,20. What were your favorite parts of gardening this year? ,6. Did you get plant starts from Plant Distribution Day?,"11. Did you participate in the CSA (Food Box) Program this year? 
",13. Do you have children in your home? (select all that apply),14. Did having a vegetable garden change your children's interest in eating fresh fruits and veggies?,"15. If you have school-aged children in your household, what school(s) are they enrolled in?",17. Did you attend a Growing Gardens virtual workshop or in-person class this season?,"If you did NOT attend a virtual workshop, let us know why (check all that apply):",21. What else would you like the see the Home Gardens program do in the future?,11. Did you receive a produce or food box from Growing Gardens at any time during the pandemic?,"9. In what ways has the garden been a benefit to you, your children or your community? (2018) "
2024,Isabel (Cully/Parkrose),In-Ground,This is my second year,Yes,,Yes was enough,Yes,Yes,Some of the time,Often,Often,Often,Often,Often,All of the time,Yes,Not sure,Not sure,Yes,Yes,Yes,No,,I was MORE physically active because of the garden,we love the season for planting flowers and vegetables,Whatever is learning,Yessss,with more land,3 times per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my second year,Yes,,Yes,Not sure,Not sure,Often,Often,Often,Some of the time,Often,Often,Often,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,,I was MORE physically active because of the garden,Being outside has helped me emotionally,I like to learn how to grow,"i would like guava plants, misperos",More workshops,4-5 per year,,,,,,,,,,,,
2024,Lindsay (North Clackamas),In-Ground,This is my first year,Yes,,Yes...,Yes,No,Often,Often,Some of the time,Often,Some of the time,Some of the time,All of the time,Yes,No,Yes,No,No,No,Yes,,I was LESS physically active because of the garden,"Although We Planted Several Things...We Did Not Have Luck in Getting Alot to Eat, Due to Some Moles and Gophers Got into Our Garden😡 and Not Enough Rain and To Dry...So We Got Very Little from Our Garden and My Hubs Did Water...",Not that I can think of right now...unless something was offered.... 🤔,Nothing Stands Out Right Now...,Nothing Comes to Mind...but Lindsay is Great... 😁,A Couple Times a Year...,No...,,,,,,,,,,,
2024,Amber (Cully/Parkrose),In-Ground,This is my third year,Yes,,"I’d like some over winter seeds, clover and garlic etc,",Yes,I do not visit food pantries anyway.,Often,Often,Often,Often,Often,Often,All of the time,Yes,Yes,No,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,"We have loved this experience the last two years, we are more fresh cucumbers this year than any other. I love to watch my kids and friends pick at the sungold tomatoes as a snack while playing. We have grown many of our favorite hot peppers and we just love the gratification of home gardening.","I am open to workshops and skill development around gardening, but I don't have any in particular in mind.","Yes, I planted new medicinal plants I had never tried before",I’ve been very happy with the services provided,A few times per season,We love the program and would love to continue,,,,,,,,,,,
2024,Amber (Cully/Parkrose),Raised bed,This is my first year,Yes,,yes,Yes,I do not visit food pantries anyway.,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Yes,Yes,Yes,Yes,No,Yes,No,,I was MORE physically active because of the garden,I learned a lot! Looking forward to next year.,I can't think of any.,n/a,I felt supported,About every other month,n/a,,,,,,,,,,,
2024,Shireen (North Portland),Raised bed,This is my first year,Yes,,Yes,Yes,Not sure,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,No,,I was MORE physically active because of the garden,It was the best feeling. Being able to go in my backyard for fresh vegetables,I loved the vegan cooking events. I'm still waiting for the recipes.,Yes I did!,She answered my questions,As needed and she would check on me periodically as well regardint my gardening needs which i appreciated,No. I'm looking for to next year with getting my garden going again after winter,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),In-Ground,This is my first year,No,I just got my box,Not yet because I just got my bed,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure,,I was MORE physically active because of the garden,Not yet because it is my first year,Yes I would like a workshop how to learn how to plant winter plants.,Not yet,I wait for my plants,Every 15 days,,,,,,,,,,,,
2024,Carolina (Norte de Clackamas),Raised bed,This is my second year,Yes,"Tomato ,chiles verdes",Yes everything excellent,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,"It was great, thank you very much to the growing garden group and to Mrs. Carolina who does an excellent job for me, she is like an angel, she helps me a lot and is an excellent human being.",I'm fine for the moment thank you very much,Yes all excellent,She gives me everything I need and she helps me a lot.,Every 15 dayso cuando necesito ayuda ella siempre está disponible para mi,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Containers,This is my second year,Yes,,,Yes,Not sure,All of the time,All of the time,All of the time,Often,Often,Some of the time,Often,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,,I was MORE physically active because of the garden,They liked the vegetables we harvested,Healthy cooking,Legunbres that can be harvested without much care and that grow in Oregon's climate.,She always helps me more than you can imagine and is an excellent organizer.,"Every one who has resources for us, thank you very much for your effort and dedication.",,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my third year,Yes,,Yes I had enough seeds.,Yes,Yes,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,My family gets excited every season as my grandchildren enjoy so much when the vegetables are coming up and we cut them to eat. Thank you so much for offering this program that brings families together and also shares in our community. Thank you so much for your support 🙏🏻 Blessings.,Kitchen.,Maybe more classes to improve the quality of each season. Thanks for asking.,I am very happy with the support they offer us and any questions or doubts we have they help us.,Every week,,,,,,,,,,,,
